"site_id","annual_week","survey_day","scheduled_minutes","koel_positive_minutes","detected","synthetic"
"SITE_01",15,1,144,0,0,TRUE
"SITE_02",15,1,144,1,1,TRUE
"SITE_03",15,1,72,0,0,TRUE
"SITE_01",16,1,72,0,0,TRUE
"SITE_02",16,1,72,0,0,TRUE
"SITE_03",16,1,144,1,1,TRUE
"SITE_01",15,2,144,1,1,TRUE
"SITE_02",15,2,144,1,1,TRUE
"SITE_03",15,2,72,0,0,TRUE
"SITE_01",16,2,72,1,1,TRUE
"SITE_02",16,2,144,1,1,TRUE
"SITE_03",16,2,144,1,1,TRUE
"SITE_01",15,3,72,1,1,TRUE
"SITE_02",15,3,72,1,1,TRUE
"SITE_03",15,3,144,1,1,TRUE
"SITE_01",16,3,144,1,1,TRUE
"SITE_02",16,3,144,0,0,TRUE
"SITE_03",16,3,144,0,0,TRUE
