"path","role","sha256","size_bytes","owner","source","version","spdx","redistribution","attribution","privacy_class","coordinate_precision","approval_reference"
"data/processed/reference/adaptive_monitoring_sequences.csv","adaptive_monitoring_sequences","c7fb3cd1fc229f453c99db4edda57f14de867e3a0b1a1d4b089577cad036e714",10547,"urban-koel-acoustic-planning contributors","curated aggregate from corrected-effort analysis lineage","0.1.0","CC-BY-4.0","yes; aggregate project-owned summary","Cite this repository version and associated article when available","aggregate_non_sensitive","not_applicable_no_coordinates","SPEC-20260814-001 curated public release"
"data/processed/reference/host_groups.csv","host_groups","46d2b4316c3efbd8958b02012cfdc20d1dcb4e2b43c6c0aef945d48620d2fe12",1279,"urban-koel-acoustic-planning contributors","curated aggregate from corrected-effort analysis lineage","0.1.0","CC-BY-4.0","yes; aggregate project-owned summary","Cite this repository version and associated article when available","aggregate_non_sensitive","not_applicable_no_coordinates","SPEC-20260814-001 curated public release"
"data/processed/reference/model_effects.csv","model_effects","2e2e74bfba9e9df4b35c94af008866a84a21eb1ca4eba82af53fcd7e62a4cb09",2860,"urban-koel-acoustic-planning contributors","curated aggregate from corrected-effort analysis lineage","0.1.0","CC-BY-4.0","yes; aggregate project-owned summary","Cite this repository version and associated article when available","aggregate_non_sensitive","not_applicable_no_coordinates","SPEC-20260814-001 curated public release"
"data/processed/reference/model_registry_public.csv","model_registry_public","61c2dd0ad86fd1bc451c16fbd59ad8b92bed723a30edaa58593b9f6e668085a9",2360,"urban-koel-acoustic-planning contributors","curated aggregate from corrected-effort analysis lineage","0.1.0","CC-BY-4.0","yes; aggregate project-owned summary","Cite this repository version and associated article when available","aggregate_non_sensitive","not_applicable_no_coordinates","SPEC-20260814-001 curated public release"
"data/processed/reference/planning_overlap.csv","planning_overlap","c38870ea2caa93d0d9a3d08a01bf425f79d6d76e6fc38a6b62e8842cc3f25a20",3614,"urban-koel-acoustic-planning contributors","curated aggregate from corrected-effort analysis lineage","0.1.0","CC-BY-4.0","yes; aggregate project-owned summary","Cite this repository version and associated article when available","aggregate_non_sensitive","not_applicable_no_coordinates","SPEC-20260814-001 curated public release"
"data/processed/reference/prediction_support_classes.csv","prediction_support_classes","ca197297f8b6a78e2723b2d9cb3e69b405ed71b7514502f9453a1b9dbde8853e",221,"urban-koel-acoustic-planning contributors","curated aggregate from corrected-effort analysis lineage","0.1.0","CC-BY-4.0","yes; aggregate project-owned summary","Cite this repository version and associated article when available","aggregate_non_sensitive","not_applicable_no_coordinates","SPEC-20260814-001 curated public release"
"data/processed/reference/predictor_registry_public.csv","predictor_registry_public","ec0cfa8e6f52707571ef7113722fc67e26175782b3927fc7335a1640b0ff0c05",2721,"urban-koel-acoustic-planning contributors","curated aggregate from corrected-effort analysis lineage","0.1.0","CC-BY-4.0","yes; aggregate project-owned summary","Cite this repository version and associated article when available","aggregate_non_sensitive","not_applicable_no_coordinates","SPEC-20260814-001 curated public release"
"data/processed/reference/survey_reconciliation.csv","survey_reconciliation","4690429834476fb790154ed510c75d407c9c36e626998edc5fa4b6eeabc18474",307,"urban-koel-acoustic-planning contributors","curated aggregate from corrected-effort analysis lineage","0.1.0","CC-BY-4.0","yes; aggregate project-owned summary","Cite this repository version and associated article when available","aggregate_non_sensitive","not_applicable_no_coordinates","SPEC-20260814-001 curated public release"
"data/processed/reference/transfer_validation.csv","transfer_validation","acedd2f9dd45e23fbc304406caecb01e2349871dbaac34eed5734cea7441a615",1086,"urban-koel-acoustic-planning contributors","curated aggregate from corrected-effort analysis lineage","0.1.0","CC-BY-4.0","yes; aggregate project-owned summary","Cite this repository version and associated article when available","aggregate_non_sensitive","not_applicable_no_coordinates","SPEC-20260814-001 curated public release"
"data/processed/reference/weekly_acoustic_exposure.csv","weekly_acoustic_exposure","69c1791c25b24deec3d10059d01f7148eb9f9e1f54eb63191f2b105f279f9a55",9234,"urban-koel-acoustic-planning contributors","curated aggregate from corrected-effort analysis lineage","0.1.0","CC-BY-4.0","yes; aggregate project-owned summary","Cite this repository version and associated article when available","aggregate_non_sensitive","not_applicable_no_coordinates","SPEC-20260814-001 curated public release"
"data/processed/reference/weekly_acoustic_opportunity.csv","weekly_acoustic_opportunity","be4c50edfa010639b8b97e087e28f96ab7f72a07dfdb9746ac08d89bad859ee6",8927,"urban-koel-acoustic-planning contributors","curated aggregate from corrected-effort analysis lineage","0.1.0","CC-BY-4.0","yes; aggregate project-owned summary","Cite this repository version and associated article when available","aggregate_non_sensitive","not_applicable_no_coordinates","SPEC-20260814-001 curated public release"
