"component","term","mean","sd","median","q025","q975","posterior_draws","source_role"
"weekly_opportunity","tree_cover",-1.69824686937427,0.463544351081941,-1.69775208389352,-2.62114566605714,-0.804881039444101,12000,"pooled H4 P0 posterior summary across three host imputations"
"weekly_opportunity","built_cover",-1.73276537794083,0.510182175314507,-1.70312424744437,-2.78202517064249,-0.813403726830896,12000,"pooled H4 P0 posterior summary across three host imputations"
"weekly_opportunity","distance_to_nearest_water",0.217196765673749,0.183507949054538,0.195577586422269,-0.0918854211276419,0.610978339754624,12000,"pooled H4 P0 posterior summary across three host imputations"
"weekly_opportunity","elevation",-0.168398442054982,0.338042083866768,-0.0558926657964779,-1.02371185007193,0.24075569565857,12000,"pooled H4 P0 posterior summary across three host imputations"
"weekly_opportunity","annual_sine",3.24949290136294,0.626287091530742,3.25098861372888,2.06886134337059,4.45308545984579,12000,"pooled H4 P0 posterior summary across three host imputations"
"weekly_opportunity","annual_cosine",-1.93679337934858,0.349554129115461,-1.97162282505521,-2.53666268817119,-1.1287175135485,12000,"pooled H4 P0 posterior summary across three host imputations"
"weekly_opportunity","corvid_opportunity",-0.769455852699451,0.350070671700628,-0.77253590555986,-1.45953433108148,-0.0716816457341523,12000,"pooled H4 P0 posterior summary across three host imputations"
"weekly_opportunity","sturnid_opportunity",0.277748393405316,0.135847203801099,0.277494740610555,0.0188069205454967,0.550226149846066,12000,"pooled H4 P0 posterior summary across three host imputations"
"weekly_opportunity","laughingthrush_opportunity",-0.200942823782669,0.528086591416889,-0.176208490662477,-1.34168216363508,0.819537824265734,12000,"pooled H4 P0 posterior summary across three host imputations"
"daily_detectability","recording_effort",0.259107285274758,0.0749482954026139,0.257610432326188,0.117282451214059,0.408852141212398,12000,"pooled H4 P0 posterior summary across three host imputations"
"daily_detectability","anthropogenic_sounds",0.523039860297487,0.0506128192427044,0.523482057275761,0.423575249845958,0.620367965950522,12000,"pooled H4 P0 posterior summary across three host imputations"
"daily_detectability","frog_sounds",0.403585958648056,0.0384727827440177,0.403223334998329,0.328387293132346,0.479023567784911,12000,"pooled H4 P0 posterior summary across three host imputations"
"positive_day_minute_probability","equal_scale_potential_host_opportunity",0.44,,0.44,0.33,0.61,,"reported pooled HEQZ daily density summary"
"positive_day_minute_probability","annual_sine",2.94,,2.94,2.4,3.6,,"reported pooled HEQZ daily density summary"
"positive_day_minute_probability","annual_cosine",-1.16,,-1.16,-1.56,-0.81,,"reported pooled HEQZ daily density summary"
