"calendar_week","spatial_q10_pct","spatial_median_pct","spatial_q90_pct","area_weighted_mean_pct","retained_area_km2","retained_hex_n","week_start_label","mapping_population"
1,2.69382689208535,4.06963393287314,11.7107023586338,7.45255607813055,895.380590304547,5557,"Jan 01","centroid-in-city Primary Results + Moderate Extrapolation subset"
2,3.50419778649776,5.25236222297323,15.7649414210416,9.31864558247275,895.380590304547,5557,"Jan 08","centroid-in-city Primary Results + Moderate Extrapolation subset"
3,4.68177097407474,6.90191117189392,21.2773934053076,11.8130805894641,895.380590304547,5557,"Jan 15","centroid-in-city Primary Results + Moderate Extrapolation subset"
4,6.3816664452887,9.21074718634337,28.6367556267312,15.0996506086686,895.380590304547,5557,"Jan 22","centroid-in-city Primary Results + Moderate Extrapolation subset"
5,8.84562460035172,12.5345669086479,37.897120802764,19.3526729156625,895.380590304547,5557,"Jan 29","centroid-in-city Primary Results + Moderate Extrapolation subset"
6,12.247335836971,17.1752936279506,48.3461155467895,24.6965332293942,895.380590304547,5557,"Feb 05","centroid-in-city Primary Results + Moderate Extrapolation subset"
7,16.8344784740492,23.4698562404062,58.8987619931788,31.1598039248371,895.380590304547,5557,"Feb 12","centroid-in-city Primary Results + Moderate Extrapolation subset"
8,22.606285670924,31.2976392558641,68.400750331628,38.5728668376051,895.380590304547,5557,"Feb 19","centroid-in-city Primary Results + Moderate Extrapolation subset"
9,29.5210975513388,40.1638096800177,76.4886243463872,46.5628340676527,895.380590304547,5557,"Feb 26","centroid-in-city Primary Results + Moderate Extrapolation subset"
10,37.0536691623232,49.4588152912155,82.7971169714092,54.6117038461927,895.380590304547,5557,"Mar 05","centroid-in-city Primary Results + Moderate Extrapolation subset"
11,45.0977722622675,58.3769874426832,87.4603809620284,62.180247466284,895.380590304547,5557,"Mar 12","centroid-in-city Primary Results + Moderate Extrapolation subset"
12,52.8416919159978,66.1511651898796,90.7044882256668,68.8309934895817,895.380590304547,5557,"Mar 19","centroid-in-city Primary Results + Moderate Extrapolation subset"
13,60.0082917523574,72.5655970206813,92.983193292946,74.3529818324996,895.380590304547,5557,"Mar 26","centroid-in-city Primary Results + Moderate Extrapolation subset"
14,66.05329195598,77.5197823201702,94.5068978575313,78.7289501704332,895.380590304547,5557,"Apr 02","centroid-in-city Primary Results + Moderate Extrapolation subset"
15,71.0160909963225,81.2543716297689,95.5174912183278,82.0582338294676,895.380590304547,5557,"Apr 09","centroid-in-city Primary Results + Moderate Extrapolation subset"
16,74.788986663564,83.8594775536459,96.2141628285931,84.4904904394335,895.380590304547,5557,"Apr 16","centroid-in-city Primary Results + Moderate Extrapolation subset"
17,77.5380610518027,85.5905075532093,96.6227316852565,86.1796940688176,895.380590304547,5557,"Apr 23","centroid-in-city Primary Results + Moderate Extrapolation subset"
18,79.4452033390394,86.6661152203088,96.856763258696,87.249505765099,895.380590304547,5557,"Apr 30","centroid-in-city Primary Results + Moderate Extrapolation subset"
19,80.6185086341986,87.1382840997612,96.9205736760946,87.7929708269973,895.380590304547,5557,"May 07","centroid-in-city Primary Results + Moderate Extrapolation subset"
20,81.0144954798445,87.0861055832357,96.818268793088,87.8639442051615,895.380590304547,5557,"May 14","centroid-in-city Primary Results + Moderate Extrapolation subset"
21,80.6329246223695,86.4927582634321,96.5414043190982,87.4786697585799,895.380590304547,5557,"May 21","centroid-in-city Primary Results + Moderate Extrapolation subset"
22,79.5133891398319,85.4467238424435,96.0385131590863,86.617347911076,895.380590304547,5557,"May 28","centroid-in-city Primary Results + Moderate Extrapolation subset"
23,77.5969091924933,83.9182293447697,95.3192973996993,85.2357239963835,895.380590304547,5557,"Jun 04","centroid-in-city Primary Results + Moderate Extrapolation subset"
24,74.9369873091083,81.9486068551198,94.2776603539765,83.255513950752,895.380590304547,5557,"Jun 11","centroid-in-city Primary Results + Moderate Extrapolation subset"
25,71.4110291599868,79.3737429446347,92.7137035750142,80.5814673363356,895.380590304547,5557,"Jun 18","centroid-in-city Primary Results + Moderate Extrapolation subset"
26,66.8671578765913,76.056110255963,90.4975920055966,77.1135421524155,895.380590304547,5557,"Jun 25","centroid-in-city Primary Results + Moderate Extrapolation subset"
27,61.4303034512525,71.7653869687378,87.4836154599011,72.7586295498733,895.380590304547,5557,"Jul 02","centroid-in-city Primary Results + Moderate Extrapolation subset"
28,55.1777866259068,66.2620290301534,83.3231450661036,67.4780097088487,895.380590304547,5557,"Jul 09","centroid-in-city Primary Results + Moderate Extrapolation subset"
29,48.2158899664695,59.4366474652077,78.2994644522044,61.3261893157745,895.380590304547,5557,"Jul 16","centroid-in-city Primary Results + Moderate Extrapolation subset"
30,41.0763442741388,51.6981229408355,72.199571119716,54.4969995016972,895.380590304547,5557,"Jul 23","centroid-in-city Primary Results + Moderate Extrapolation subset"
31,33.9617463628567,43.6030709981537,65.3199150138303,47.2764729168796,895.380590304547,5557,"Jul 30","centroid-in-city Primary Results + Moderate Extrapolation subset"
32,27.3404441702059,35.6467185200466,57.2869996660081,40.0420113859417,895.380590304547,5557,"Aug 06","centroid-in-city Primary Results + Moderate Extrapolation subset"
33,21.4801681130111,28.3409348748276,49.2631610936326,33.1593045842057,895.380590304547,5557,"Aug 13","centroid-in-city Primary Results + Moderate Extrapolation subset"
34,16.5450680430577,21.9706058788484,41.4019288310273,26.9372196778359,895.380590304547,5557,"Aug 20","centroid-in-city Primary Results + Moderate Extrapolation subset"
35,12.5970385796058,16.7778980531449,34.0914666809641,21.5493625441938,895.380590304547,5557,"Aug 27","centroid-in-city Primary Results + Moderate Extrapolation subset"
36,9.50402705272777,12.6842725075323,27.5438198894206,17.0649475579719,895.380590304547,5557,"Sep 03","centroid-in-city Primary Results + Moderate Extrapolation subset"
37,7.17616643970857,9.56628863352259,21.8452349084081,13.4494750381041,895.380590304547,5557,"Sep 10","centroid-in-city Primary Results + Moderate Extrapolation subset"
38,5.44874476367315,7.24373875816066,17.1479789904751,10.6154176140177,895.380590304547,5557,"Sep 17","centroid-in-city Primary Results + Moderate Extrapolation subset"
39,4.19266499613735,5.56019424557986,13.41972287668,8.44600594793075,895.380590304547,5557,"Sep 24","centroid-in-city Primary Results + Moderate Extrapolation subset"
40,3.28256018419899,4.34567772910717,10.6536089736373,6.81203866022649,895.380590304547,5557,"Oct 01","centroid-in-city Primary Results + Moderate Extrapolation subset"
41,2.62320050116185,3.47644528142223,8.50904839731922,5.60094469459726,895.380590304547,5557,"Oct 08","centroid-in-city Primary Results + Moderate Extrapolation subset"
42,2.14749637669921,2.8632773478655,6.97352055227194,4.72068806839902,895.380590304547,5557,"Oct 15","centroid-in-city Primary Results + Moderate Extrapolation subset"
43,1.80942149879081,2.43866070239172,5.88058701387054,4.09558735121269,895.380590304547,5557,"Oct 22","centroid-in-city Primary Results + Moderate Extrapolation subset"
44,1.57193662230492,2.13152452934586,5.0670670585471,3.67393800487072,895.380590304547,5557,"Oct 29","centroid-in-city Primary Results + Moderate Extrapolation subset"
45,1.4138002221981,1.93848049335766,4.55524148256145,3.42146746808195,895.380590304547,5557,"Nov 05","centroid-in-city Primary Results + Moderate Extrapolation subset"
46,1.3231487004324,1.83628435259719,4.30002454760279,3.31523585035362,895.380590304547,5557,"Nov 12","centroid-in-city Primary Results + Moderate Extrapolation subset"
47,1.28760984512099,1.82026088887347,4.28951744974205,3.34578644843958,895.380590304547,5557,"Nov 19","centroid-in-city Primary Results + Moderate Extrapolation subset"
48,1.31102703970053,1.87032767493865,4.43894512664164,3.51455072610578,895.380590304547,5557,"Nov 26","centroid-in-city Primary Results + Moderate Extrapolation subset"
49,1.3913129706647,2.0058108024061,4.89654064963898,3.83586367032635,895.380590304547,5557,"Dec 03","centroid-in-city Primary Results + Moderate Extrapolation subset"
50,1.54168106730869,2.26669211613716,5.71769236295659,4.3357021450343,895.380590304547,5557,"Dec 10","centroid-in-city Primary Results + Moderate Extrapolation subset"
51,1.78501380155353,2.64958886727616,6.96345479085089,5.06116615865604,895.380590304547,5557,"Dec 17","centroid-in-city Primary Results + Moderate Extrapolation subset"
52,2.15534493211818,3.22265175002568,8.9392669915165,6.07202234360043,895.380590304547,5557,"Dec 24","centroid-in-city Primary Results + Moderate Extrapolation subset"
